"site","plot","stab.com","stab.pop","asyn","SAE","CPE.env","CPE.int","richness","shannon","inv.simpson","evenness","CPE.env.LB","CPE.env.UB","CPE.int.LB","CPE.int.UB"
"BigBio","130",2.8758185466476,1.52012719643699,1.89182757428997,1.77456773976219,0.944091353112322,1.13889017344186,5.35294117647059,1.17806766403986,2.62776853353213,0.605407019749488,0.804882950827238,1.18623186728681,0.898750118509929,1.32452449593558
"BigBio","133",2.81702069979632,2.41722693420649,1.16539355901272,1.47208330995775,0.862492084259596,0.959193178161224,2.35294117647059,0.69077301584894,1.86052877001277,0.628768695721027,0.570332764209068,1.14367241718344,0.692211129395734,1.38807171047795
"BigBio","136",3.45116540092577,1.15447944306648,2.98936929683125,2.79981952611941,0.858930608855178,1.25526434739795,10.7058823529412,2.03703491446283,5.99957713973476,0.771879751001774,0.724902203550276,1.03675538410307,1.02990298030154,1.47289674651104
"BigBio","138",2.68199932625449,1.76462453034631,1.51986968339839,1.45432464931708,0.947598164594858,1.10556982100213,3.52941176470588,0.671370204756331,1.52062619876469,0.484291232501283,0.863433761368433,1.04178104816705,1.00315697171619,1.21036511572044
"BigBio","139",1.50584701209421,1.33560798278523,1.12746182375607,1.21234436838349,0.960102290152238,0.970202911893348,2.35294117647059,0.368904945733167,1.21019245955142,0.266108667884326,0.907234161230787,1.02936080967977,0.903463540752639,1.02508233712622
"BigBio","146",2.06285127562305,1.65258020673434,1.24826091176503,1.54369585436102,1.04000302728308,0.783751290909642,4.35294117647059,0.865811513228267,2.06661311592268,0.444939101452652,0.919576588915029,1.23386753647169,0.655357751719034,0.879338986584476
"BigBio","149",2.03287497971071,1.72667098462582,1.17733777761445,1.17601982437541,0.984583776579689,1.01928348743634,1.47058823529412,0.138516874365933,1.05745065375803,0.126083492597614,0.894193852529431,1.05678407245371,0.947327572150236,1.11957903402346
"BigBio","156",3.48771137806535,1.26269630351899,2.76211419036035,2.88747672156838,0.704536453254318,1.37264276953162,9.35294117647059,2.10054135312508,7.03437275413653,0.795943812797469,0.596402433331513,0.882898647288086,1.08365569067972,1.60392720345339
"BigBio","157",1.91012934929179,1.9005714174235,1.00502897801191,1.00466196326988,0.999672155243171,1.00069351786093,1.05882352941176,0.00500307573358105,1.00118780137307,0.0072179125500293,0.999249176325424,1.00023661551144,1.0001286657167,1.00111697399753
"BigBio","160",2.25733498007107,1.04619120618705,2.15766961786857,2.83065455110002,0.770433040336197,1.00860308531077,9.94117647058824,2.14308440791683,7.37857002816128,0.893735615657569,0.601336136932,0.93803048030537,0.812608186118871,1.26759574257732
"BigBio","164",3.33282261448756,1.30356105184825,2.55670619320985,2.63194159852092,0.735723815165423,1.32883840413385,9.17647058823529,2.00368936975012,6.28941937054704,0.806343920372646,0.632061928467865,0.855470600741169,1.13554088404508,1.53699771325557
"BigBio","165",3.52798158476649,3.4988424562034,1.00832821966917,1.02134127789296,0.997064153747265,0.990204855176956,1.58823529411765,0.0217224274669588,1.00647128577664,0.0313388383826516,0.987156054633415,1.01061629011824,0.976888248123269,1.00010414881704
"BigBio","168",3.03381813270338,2.46954415798945,1.22849317064787,1.20992320660048,1.02403785892084,0.992125819221015,2,0.367890489812128,1.26893399442434,0.530753785242169,0.99330075094623,1.06290209455708,0.955260185296589,1.02219599736686
"BigBio","169",3.58279073115712,1.62606621356161,2.20334860983899,2.42709536731849,0.962019033391638,0.952548610641959,9.70588235294118,1.66013476287205,3.51672418541265,0.647238807285863,0.834110408432326,1.18276414170863,0.76836425444285,1.08836117486959
"BigBio","170",2.39493044597604,1.06186054188491,2.25540958676626,2.00577922741258,0.86142578688762,1.31962800874678,4.47058823529412,1.30942690825154,2.86960102948069,0.672912317604815,0.694745608904199,1.01930723939804,1.10315997342314,1.61852217257751
"BigBio","171",1.5349661756167,1.47800646553975,1.03853820088409,1.09134266693614,0.965327122141665,0.985856798900561,1.52941176470588,0.16363116180789,1.08027892546931,0.236069865675142,0.953563976513674,0.977560924380522,0.973458648655752,0.997956256595737
"BigBio","174",2.48867999289465,1.02025060385003,2.43928303840579,2.87421326750853,0.784238735480729,1.09140531493848,10,2.0566305213491,6.05069428307957,0.759450663252853,0.661163316386984,0.938453461814023,0.904337347486802,1.28364122220893
"BigBio","175",3.00841326175691,1.65226119433953,1.82078552232747,1.41101117819089,0.999621979908436,1.30443173547366,2,0.68303364311803,1.9604791069496,0.985409249686705,0.874986217027642,1.20716149035571,1.0689637172563,1.47477961246392
"BigBio","176",4.10291728584835,1.94863386938655,2.10553524205139,1.47819957575878,1.00658869258528,1.43919091695487,3,0.794059807010946,2.09059464420947,0.722784384629099,0.760356377988349,1.2938571659282,1.10135516759213,1.87991918690546
"BigBio","177",3.16288955839203,1.67142472675631,1.8923314390174,2.41752163428433,0.885040028856133,0.900948016490458,5.64705882352941,1.45638525636823,3.38958299829108,0.74843396909938,0.647301138517195,1.08014025900057,0.724783128510684,1.20932806524953
"BigBio","178",2.64492099548045,1.75932249666571,1.50337473686214,1.49824875097433,0.932711705216792,1.08838257404287,5.88235294117647,0.88543625734199,1.69341467170794,0.455024224922125,0.714530148862395,1.09522454112454,0.91617875225291,1.4043093455559
"BigBio","186",3.25352263088117,1.16122511655933,2.80180180783657,2.71417502975254,0.757406165087997,1.37795778148182,9.70588235294118,1.9759563979695,5.84172869164129,0.748735685199219,0.628316899381666,0.908809240468833,1.13591191889565,1.64297529273971
"BigBio","190",1.74580302668698,1.24728772363567,1.39967947539659,1.36212969126812,0.973857899956527,1.05673477758974,3.05882352941176,0.754453745869175,1.68808940843477,0.544223338872781,0.909261936891083,1.04349860989638,0.984732473207244,1.13011105515425
"BigBio","193",2.97610521575098,1.93461939711697,1.53834145371749,1.39499451704983,1.12836297593614,0.979633348259401,2,0.598454602131066,1.69014945634409,0.863387486691667,1.07659443797766,1.20859957036296,0.912426325160692,1.0243022123062
"BigBio","197",1.22606133238713,1.20807039916201,1.01489228875867,1.02287761418953,1.01621039495067,0.978789285585327,1.52941176470588,0.0701363827331364,1.02670096647477,0.101185411554986,0.982044964159989,1.17863076656083,0.842216357469148,1.01033385440456
"BigBio","199",3.20297662060095,1.73597992119862,1.84505395568713,1.45401050322085,0.909709605784259,1.44881732482571,2.05882352941176,0.679401566517979,1.86342110710817,0.618417956476387,0.684218339157663,1.11810095934405,1.1349076073428,1.85458531570351
