"site","plot","stab.com","stab.pop","asyn","SAE","CPE.env","CPE.int","richness","shannon","inv.simpson","evenness","CPE.env.LB","CPE.env.UB","CPE.int.LB","CPE.int.UB"
"CDR","CDR_D_2_",1.831127012091,0.681722018366548,2.68603178826248,3.47072209706778,0.856943091048983,0.906616707350473,14.0869565217391,2.49360941773872,8.39858360907561,0.637421971772328,0.758164863115351,0.957790392005035,0.808139630433699,1.02077055700541
"CDR","CDR_D_25_",2.14584917651268,0.67040802720093,3.20081068460945,3.214800910703,1.03634074534809,0.966275888235606,12.4782608695652,2.36405829727077,7.72995231400189,0.621031757773042,0.889864004528904,1.19018238326057,0.836552766946807,1.11888341830045
"CDR","CDR_D_33_",1.66441211624612,0.674217507741918,2.46865751353826,2.78627724894617,0.922689797499409,0.967236685214125,11.6521739130435,2.18673482057808,6.13672596773831,0.564872455451555,0.794899918592632,1.10433890583257,0.80236563104138,1.11461809823014
"CDR","CDR_D_34_",2.73906791062027,1.00307679910118,2.7306661993126,2.56892341319273,1.1012182187052,0.970091930990273,9.56521739130435,1.52672305671554,2.57109962402403,0.422807467145533,0.981388695890308,1.28023863127374,0.830297508671086,1.08312031067925
"CDR","CDR_D_44_",2.16262655610932,0.876421020150314,2.46756582325971,2.60278774247857,0.937723289977999,1.01817025082088,11.8260869565217,1.98849313165846,4.94234608703366,0.516471921953138,0.813250145644437,1.11718641903233,0.848607036979603,1.16575148684489
"VC","VC1_1",4.81134953140814,1.17314732562132,4.10123215245787,3.24268522218551,1.19182392329195,1.10509659138696,16.3333333333333,2.336465625033,7.27984552069299,0.642312105456423,0.863140538712117,2.02764856185377,0.624891710349273,1.46544102388374
"VC","VC2_2",5.99451081385229,1.35740454664812,4.41615642783481,2.70892071085498,1.18272469637538,1.38874340323804,11.1111111111111,1.99130778963335,5.42070682058134,0.635085779944026,1.01089689177827,1.43290444179586,1.13783271863782,1.61267735993165
"VC","VC3_3",16.7880625789794,1.71410603406283,9.7940630540736,3.13477889544381,1.22938436598446,2.72471170973425,15.2222222222222,2.09745632440031,5.55141275079099,0.599871811379871,0.902759298849606,1.83193371114535,1.70580965078195,3.46093391911995
"VC","VC4_4",6.20201914919931,1.03721767382392,5.97947692728209,2.26443979195372,1.3107164886171,2.09236564406751,9.88888888888889,1.80251915294391,3.94682361539738,0.592053167554174,0.956346421437557,2.00823608356453,1.31599195805116,2.7611650577915
"VC","VC5_5",5.24009734561693,1.09760181744103,4.77413326249204,2.65553686476139,1.46467099799079,1.33894234797151,10.8888888888889,1.69881133804085,2.99743928044951,0.494705203275662,0.916595270723986,2.80455291328082,0.641159475572162,1.9615098877361
