"site","plot","stab.comm","stab.pop","asynchrony","compensatory","statistical","richness","shannon","inv.simpson","evenness"
"CDR","CDR_D_2_",1.831127012091,0.681722018366548,2.68603178826248,0.773911512688312,3.47072209706778,14.0869565217391,2.49360941773872,8.39858360907561,0.637421971772328
"CDR","CDR_D_25_",2.14584917651268,0.67040802720093,3.20081068460945,0.995648182739099,3.214800910703,12.4782608695652,2.36405829727077,7.72995231400189,0.621031757773042
"CDR","CDR_D_33_",1.66441211624612,0.674217507741918,2.46865751353826,0.886005696120857,2.78627724894617,11.6521739130435,2.18673482057808,6.13672596773831,0.564872455451555
"CDR","CDR_D_34_",2.73906791062027,1.00307679910118,2.7306661993126,1.06296131106488,2.56892341319273,9.56521739130435,1.52672305671554,2.57109962402403,0.422807467145533
"CDR","CDR_D_44_",2.16262655610932,0.876421020150314,2.46756582325971,0.948047273693517,2.60278774247857,11.8260869565217,1.98849313165846,4.94234608703366,0.516471921953138
"VC","VC1_1",4.81134953140814,1.17314732562132,4.10123215245787,1.26476419123214,3.24268522218551,16.3333333333333,2.336465625033,7.27984552069299,0.642312105456423
"VC","VC2_2",5.99451081385229,1.35740454664812,4.41615642783481,1.63022727469974,2.70892071085498,11.1111111111111,1.99130778963335,5.42070682058134,0.635085779944026
"VC","VC3_3",16.7880625789794,1.71410603406283,9.7940630540736,3.12432339911073,3.13477889544381,15.2222222222222,2.09745632440031,5.55141275079099,0.599871811379871
"VC","VC4_4",6.20201914919931,1.03721767382392,5.97947692728209,2.64059876907705,2.26443979195372,9.88888888888889,1.80251915294391,3.94682361539738,0.592053167554174
"VC","VC5_5",5.24009734561693,1.09760181744103,4.77413326249204,1.79780342191597,2.65553686476139,10.8888888888889,1.69881133804085,2.99743928044951,0.494705203275662
"VC","VC6_6",5.61109461216378,1.05227544680354,5.33234394968392,2.38989338062132,2.23120579056862,9,1.73437356695846,3.75833049597924,0.569670154329806
"HAY","HAY_Kansas_e1q1_1",2.24130232355636,1.30343597647595,1.71953388122376,1.20634977391207,1.42540241512831,4.56666666666667,0.717799171530259,1.97041061260526,0.253351613296657
"HAY","HAY_Kansas_e1q1_3",2.1283411502663,0.803546070328476,2.64868590471269,1.3882114018717,1.90798454842073,5.86666666666667,1.26929767968669,2.99296937963103,0.389582587524398
"HAY","HAY_Kansas_e1q1A_1",3.40845914710104,1.43482677807871,2.37551960917896,1.49605670647886,1.58785398901758,4.46666666666667,0.826347677976998,1.99232168510899,0.271421116079837
"HAY","HAY_Kansas_e1q1A_2",2.49414882502527,0.998045991645542,2.49903195434211,1.48898878994298,1.67834168478717,5.23333333333333,1.02430344299117,2.29016154318423,0.331377992521032
"HAY","HAY_Kansas_e1q1A_3",2.40707302184402,1.13655451042598,2.11786852259453,1.2347521801458,1.71521747978971,6.53333333333333,1.05541775561523,2.071108002006,0.307344696636243
"HAY","HAY_Kansas_e1q2_2",1.72340958305765,0.966419585608777,1.78329331143679,1.02443527525774,1.7407574246095,5.4,0.894248622100074,1.83928327004675,0.262921707196851
"HAY","HAY_Kansas_e1q2_3",2.24046138312159,1.05989858261103,2.11384506015876,1.21555489206684,1.73899597126752,5.4,1.00051177772616,2.28834281793211,0.303568355596166
"HAY","HAY_Kansas_e1q2_4",2.42428488658319,1.01749631588701,2.38259819591563,1.39571111539203,1.70708549186154,5.16666666666667,1.02617102137952,2.41031290175092,0.362193346128457
"HAY","HAY_Kansas_e1q2_5",2.01310711005294,1.13832590025275,1.76848045854526,1.12288515765254,1.57494330252113,5.06666666666667,0.896337777626139,2.17304993299176,0.31011158864857
"HAY","HAY_Kansas_e1q2_6",2.91589760217546,2.2360342689715,1.3040487091983,0.966079986065748,1.34983513581406,4.26666666666667,0.301341935074927,1.13654318286996,0.0961066786677612
"HAY","HAY_Kansas_e1q2_8",2.44176280061843,0.887098724044382,2.75252656151523,1.57484848795338,1.74780404754512,4.4,1.03949285801436,2.54980657850754,0.353035965550435
"HAY","HAY_Kansas_e1q3_1",2.58448896877467,1.12225548921977,2.30294170409582,1.34472053397534,1.7125801576687,4.63333333333333,0.815156833323429,1.71217852047086,0.287714596231711
"HAY","HAY_Kansas_e1q3_3",2.35789741937249,0.961352315024409,2.45268813786819,1.50212370927243,1.63281367754736,5.33333333333333,1.20108525791619,2.6859288531965,0.394506948950034
"JRG","JRG_Control_C_1_C_1_1",5.05084060589275,0.803812147297109,6.28360820731144,2.19641501920904,2.86084740468322,13.3571428571429,2.35097574121279,7.74891512753572,0.730371679158842
"JRG","JRG_Control_C_1_C_1_2",4.89947078187336,0.868201825090932,5.64323944073742,2.01664447868661,2.7983313372185,13.75,2.30331009280657,7.03533502434559,0.706949614883198
"JRG","JRG_Control_C_1_C_1_3",4.16899795371215,0.8149573364318,5.11560270377545,1.67073764523738,3.06188270693369,15.8571428571429,2.53130562369214,8.85603341748276,0.744239554381609
"JRG","JRG_Control_C_1_C_1_4",6.03950388943303,0.808648083691346,7.46864304910448,2.7123295967671,2.7535897768496,14.3571428571429,2.33426284961227,7.41039309069195,0.734494434084745
"JRG","JRG_Control_C_1_C_1_5",5.54954723253794,0.905581132009303,6.1281612838207,2.12799429742526,2.87978275657759,14.6785714285714,2.32090349734954,7.13614565931933,0.730290807281712
"JRG","JRG_Control_C_1_C_1_6",5.70564830565955,0.859695754083262,6.63682271147631,2.20789916191278,3.00594466720418,14.8571428571429,2.39331271922634,7.22742712930104,0.710752140608908
